ds,y,orders,items
2016-09-15,143.46,1,3
2016-10-03,559.5300000000001,7,7
2016-10-04,9821.420000000004,54,63
2016-10-05,7209.500000000001,35,48
2016-10-06,6798.9,41,47
2016-10-07,6824.459999999999,38,44
2016-10-08,8475.929999999998,36,41
2016-10-09,2904.1899999999996,20,26
2016-10-10,3896.7300000000005,34,37
2016-12-23,19.62,1,1
2017-01-05,707.27,32,32
2017-01-06,988.2800000000001,4,4
2017-01-07,1447.99,4,5
2017-01-08,507.85,4,4
2017-01-09,774.5100000000001,5,6
2017-01-10,1571.17,6,6
2017-01-11,2098.78,10,10
2017-01-12,1720.3500000000001,12,14
2017-01-13,2712.86,10,10
2017-01-14,1153.29,16,16
2017-01-15,2551.34,14,21
2017-01-16,3664.5400000000004,18,23
2017-01-17,3893.6099999999983,32,37
2017-01-18,3811.680000000001,30,32
2017-01-19,4140.16,29,35
2017-01-20,4656.049999999999,28,39
2017-01-21,2897.87,22,34
2017-01-22,4141.870000000001,30,33
2017-01-23,7221.590000000001,36,51
2017-01-24,5943.210000000001,38,42
2017-01-25,8196.07,57,63
2017-01-26,14824.800000000003,82,97
2017-01-27,12458.150000000001,59,74
2017-01-28,5710.009999999999,28,29
2017-01-29,6593.759999999995,32,44
2017-01-30,11277.14999999999,48,72
2017-01-31,11818.159999999996,64,80
2017-02-01,8788.699999999997,61,64
2017-02-02,10334.07,67,74
2017-02-03,10797.079999999998,54,58
2017-02-04,15320.15,64,70
2017-02-05,10035.21,74,82
2017-02-06,10892.490000000009,78,84
2017-02-07,16004.010000000013,108,123
2017-02-08,13516.290000000006,83,92
2017-02-09,10568.420000000004,73,78
2017-02-10,14486.490000000002,63,70
2017-02-11,5233.15,45,51
2017-02-12,16389.820000000007,61,64
2017-02-13,12174.710000000006,74,86
2017-02-14,12357.96,66,75
2017-02-15,7734.14,56,59
2017-02-16,6842.419999999998,49,54
2017-02-17,8059.209999999998,45,56
2017-02-18,8451.140000000005,52,63
2017-02-19,4195.8099999999995,37,41
2017-02-20,8318.069999999996,59,67
2017-02-21,8982.23,39,41
2017-02-22,7024.96,53,58
2017-02-23,7790.550000000001,57,70
2017-02-24,7779.200000000001,60,70
2017-02-25,4347.750000000001,39,43
2017-02-26,6101.0199999999995,42,49
2017-02-27,6721.860000000002,41,51
2017-02-28,11992.410000000005,53,65
2017-03-01,14190.980000000003,93,111
2017-03-02,12575.460000000001,66,73
2017-03-03,13919.14,72,80
2017-03-04,10024.790000000003,69,77
2017-03-05,8092.320000000003,67,77
2017-03-06,10605.150000000001,94,109
2017-03-07,13190.060000000009,78,95
2017-03-08,14774.64,73,81
2017-03-09,13001.780000000008,88,110
2017-03-10,14005.739999999996,84,95
2017-03-11,12089.770000000006,68,77
2017-03-12,7711.889999999999,63,70
2017-03-13,18563.439999999995,104,109
2017-03-14,16171.189999999999,95,110
2017-03-15,16477.950000000008,101,115
2017-03-16,16463.940000000002,100,124
2017-03-17,13522.029999999995,64,78
2017-03-18,17588.749999999996,71,74
2017-03-19,7728.079999999999,56,59
2017-03-20,19327.849999999995,113,124
2017-03-21,13166.640000000009,92,103
2017-03-22,16338.04,104,121
2017-03-23,18402.830000000005,105,128
2017-03-24,11554.400000000003,75,83
2017-03-25,10896.760000000006,72,82
2017-03-26,7356.920000000001,63,68
2017-03-27,18517.1,107,118
2017-03-28,13533.919999999991,96,110
2017-03-29,9662.03,72,83
2017-03-30,11172.34,72,81
2017-03-31,13705.020000000002,69,72
2017-04-01,18862.37,66,68
2017-04-02,10449.399999999998,64,77
2017-04-03,10300.270000000006,68,78
2017-04-04,14152.990000000003,96,109
2017-04-05,20080.090000000004,93,99
2017-04-06,20966.290000000005,92,100
2017-04-07,14605.910000000003,82,92
2017-04-08,9688.06,64,69
2017-04-09,9077.649999999998,68,73
2017-04-10,13049.660000000003,84,92
2017-04-11,8400.580000000002,73,80
2017-04-12,8925.150000000001,61,64
2017-04-13,11213.929999999998,60,64
2017-04-14,7950.880000000001,47,54
2017-04-15,9225.819999999998,49,52
2017-04-16,6046.409999999999,47,50
2017-04-17,8628.010000000002,58,61
2017-04-18,23433.859999999993,71,84
2017-04-19,13527.610000000002,93,108
2017-04-20,14461.9,91,107
2017-04-21,10048.390000000005,66,75
2017-04-22,14736.680000000008,82,93
2017-04-23,11506.539999999997,84,89
2017-04-24,15435.599999999993,110,125
2017-04-25,16136.780000000006,106,118
